Variable,VariableL1,Unit,VarGroup
Water Withdrawal|Hydrogen|Gas|w/ CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Hydrogen|Gas|w/o CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Liquids,Water Withdrawal,km3/yr,Water
Water Withdrawal|Liquids|Biomass,Water Withdrawal,km3/yr,Water
Water Withdrawal|Liquids|Biomass|w/ CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Liquids|Biomass|w/o CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Liquids|Coal,Water Withdrawal,km3/yr,Water
Water Withdrawal|Liquids|Coal|w/ CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Liquids|Coal|w/o CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Liquids|Fossil,Water Withdrawal,km3/yr,Water
Water Withdrawal|Liquids|Fossil|w/ CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Liquids|Fossil|w/o CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Liquids|Gas,Water Withdrawal,km3/yr,Water
Water Withdrawal|Liquids|Gas|w/ CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Liquids|Gas|w/o CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Liquids|Oil,Water Withdrawal,km3/yr,Water
Primary Energy|Non-Biomass Renewables|Ocean,Primary Energy,EJ/yr,Energy
Emissions|BC|AFOLU|Agriculture,Emissions,Mt BC/yr,Emissions & Climate
Emissions|CO2|AFOLU|Agriculture,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO|AFOLU|Agriculture,Emissions,Mt CO/yr,Emissions & Climate
Emissions|OC|AFOLU|Agriculture,Emissions,Mt OC/yr,Emissions & Climate
Emissions|Sulfur|AFOLU|Agriculture,Emissions,Mt SO2/yr,Emissions & Climate
Emissions|VOC|AFOLU|Agriculture,Emissions,Mt VOC/yr,Emissions & Climate
Capacity|Electricity|Ocean,Capacity,GW,Energy
Secondary Energy|Electricity|Ocean,Secondary Energy,EJ/yr,Energy
Final Energy|Other Sector|Other,Final Energy,EJ/yr,Energy
Investment|Energy Supply|Electricity|Ocean,Investment,billion US$2010/yr,Macroeconomic
Lifetime|Electricity|Biomass|w/o CCS,Lifetime,years,Energy
Lifetime|Electricity|Coal|w/o CCS,Lifetime,years,Energy
Lifetime|Electricity|Gas|w/o CCS,Lifetime,years,Energy
Lifetime|Electricity|Wind,Lifetime,years,Energy
Secondary Energy|Heat|Solar,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Nuclear,Secondary Energy,EJ/yr,Energy
Secondary Energy|Liquids|Other,Secondary Energy,EJ/yr,Energy
Investment|Energy Demand|Transportation|Passenger|Road|LDV|EV,Investment,billion US$2010/yr,Macroeconomic
Investment|Infrastructure|Residential and Commercial|Building Retrofits,Investment,billion US$2010/yr,Macroeconomic
Policy Cost|Other,Policy Cost,billion US$2010/yr,Macroeconomic
Emissions|BC|Other,Emissions,Mt BC/yr,Emissions & Climate
Emissions|NH3|Other,Emissions,Mt NH3/yr,Emissions & Climate
Emissions|NOx|Other,Emissions,Mt NO2/yr,Emissions & Climate
Emissions|OC|Other,Emissions,Mt OC/yr,Emissions & Climate
Emissions|Sulfur|Other,Emissions,Mt SO2/yr,Emissions & Climate
Emissions|VOC|Other,Emissions,Mt VOC/yr,Emissions & Climate
Capacity Additions|Electricity|Storage Capacity,Capacity Additions,GWh/yr,Energy
Capital Formation,Capital Formation,billion US$2010/yr,Macroeconomic
Carbon Utilization|CCS|Industry,Carbon Utilization,Mt CO2/yr,Emissions & Climate
Efficiency|Liquids|Oil,Efficiency,%,Energy
Emissions|CO|Other,Emissions,Mt CO/yr,Emissions & Climate
Final Energy|Industry|Gases|Bioenergy,Final Energy,EJ/yr,Energy
Interest Rate|Real,Interest Rate,%,Macroeconomic
Lifetime|Liquids|Oil,Lifetime,years,Energy
Trade|Uranium|Mass,Trade,kt U/yr,Energy
Investment|Energy Supply|Hydrogen|Biomass,Investment,billion US$2010/yr,Macroeconomic
Investment|Energy Supply|Hydrogen|Electricity,Investment,billion US$2010/yr,Macroeconomic
Energy Service|Residential and Commercial|Floor Space,Energy Service,bn m2/yr,Energy
Price|Final Energy|Transportation|Liquids|Bioenergy,Price,US$2010/GJ,Energy
Transport|Stock|Road|Passenger|LDV,Transport,million vehicles,Transport
Land Cover|Cropland|Energy Crops|2nd generation,Land Cover,million ha,AgLU
Land Cover|Forest|Secondary,Land Cover,million ha,AgLU
Yield|Bioenergy|2nd generation,Yield,t DM/ha/yr,AgLU
Carbon Intensity|Production|Cement|Industrial Processes,Carbon Intensity,Mt CO2-equiv/Mt,Emissions & Climate
Carbon Intensity|Production|Steel,Carbon Intensity,Mt CO2-equiv/Mt,Emissions & Climate
Carbon Intensity|Production|Steel|Fossil|Energy|Demand|Industry,Carbon Intensity,Mt CO2-equiv/Mt,Emissions & Climate
Population|Extreme poverty,Population,million,Macroeconomic
Carbon Intensity|Production|Cement,Carbon Intensity,Mt CO2-equiv/Mt,Emissions & Climate
Energy Service|Transportation|Aviation,Energy Service,bn vkm/yr,Energy
Energy Service|Transportation|Navigation,Energy Service,bn vkm/yr,Energy
Energy Service|Transportation|Rail,Energy Service,bn vkm/yr,Energy
Energy Service|Transportation|Road,Energy Service,bn vkm/yr,Energy
Final Energy|Industry|Chemicals|Heat,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Hydrogen,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Gases|Bioenergy,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Maritime,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Road|Freight|FC,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Road|Freight|ICE,Final Energy,EJ/yr,Energy
Capital Cost|Gases|Biomass|w/ CCS,Capital Cost,US$2010/kW,Energy
Capital Cost|Gases|Coal|w/ CCS,Capital Cost,US$2010/kW,Energy
Discount rate|Social,Discount rate,%,Macroeconomic
Investment|Energy Demand|Transportation|Freight|Road|HDT|EV,Investment,billion US$2010/yr,Macroeconomic
Investment|Energy Demand|Transportation|Freight|Road|HDT|ICE,Investment,billion US$2010/yr,Macroeconomic
Investment|Energy Demand|Transportation|Passenger|Road|LDV|ICE,Investment,billion US$2010/yr,Macroeconomic
Investment|RnD|Energy Supply,Investment,billion US$2010/yr,Macroeconomic
Expenditure|RnD,Expenditure,billion US$2010/yr,Macroeconomic
Export|Energy,Export,billion US$2010/yr,Macroeconomic
Import|Energy,Import,billion US$2010/yr,Macroeconomic
Investment|Energy Demand|Transportation|Passenger|Road|LDV|FCV,Investment,billion US$2010/yr,Macroeconomic
Investment|Infrastructure|Transportation,Investment,billion US$2010/yr,Macroeconomic
